seq,source_file,statement_from,statement_to,date,value_date,narration,reference,direction,withdrawal,deposit,amount,closing_balance,categories,is_recurring,recurring_key
1,273.pdf,2023-09-12,2026-05-04,2026-04-02,2026-04-02,EBANK:WIB/1502 Dr EBANK:WIB/1502021829/Edfs,,Payment,681881.6,0.0,681881.6,-9317737.2,High Transaction,No,EBANKWIB
2,273.pdf,2023-09-12,2026-05-04,2026-04-02,2026-04-02,AMBATT-CHENNAI Dr INT260319DEAL6205053,,Payment,5246.6,0.0,5246.6,-9322983.8,Other,No,CHENNAI DR INTDEAL
3,273.pdf,2023-09-12,2026-05-04,2026-04-02,2026-04-02,EBANK:WIB/1502 Dr EBANK:WIB/1502110539/Edfs,,Receipt,0.0,248340.0,248340.0,-9074643.8,High Transaction; Recurring Transaction,Yes,EBANKWIB
4,273.pdf,2023-09-12,2026-05-04,2026-04-02,2026-04-02,BY CASH Dr BY CASH,,Receipt,0.0,67500.0,67500.0,-9007143.8,Cash; Recurring Transaction,Yes,BY CASH DR BY CASH
5,273.pdf,2023-09-12,2026-05-04,2026-04-02,2026-04-02,VIRARW-THANE/B Dr BY CASH,,Receipt,0.0,426000.0,426000.0,-8581143.8,Cash; High Transaction; Recurring Transaction,Yes,B DR BY CASH
6,273.pdf,2023-09-12,2026-05-04,2026-04-02,2026-04-02,EBANK:WIB/1502 Dr EBANK:WIB/1502234210/Edfs,,Receipt,0.0,791482.5,791482.5,-7789661.3,High Transaction; Recurring Transaction,Yes,EBANKWIB
7,273.pdf,2023-09-12,2026-05-04,2026-04-02,2026-04-02,RTGS-BARBR5202 Dr RTGS-BARBR52026040200930050-HINDUSTAN PETROLEUM CO,,Payment,1410247.26,0.0,1410247.26,-9199908.56,High Transaction; Recurring Transaction,Yes,BARBR DR RTGS
8,273.pdf,2023-09-12,2026-05-04,2026-04-03,2026-04-03,EBANK:WIB/1502 Dr EBANK:WIB/1502413595/Edfs,,Receipt,0.0,790104.58,790104.58,-8409803.98,High Transaction; Recurring Transaction,Yes,EBANKWIB
9,273.pdf,2023-09-12,2026-05-04,2026-04-04,2026-04-04,0000-MUMBAI/IN Dr INT260322DEAL6217382,,Payment,5204.27,0.0,5204.27,-8415008.25,Recurring Transaction,Yes,IN DR INTDEAL
10,273.pdf,2023-09-12,2026-05-04,2026-04-04,2026-04-04,MOGHBS-MOGHALS Dr INT260323DEAL6218681,,Payment,54.45,0.0,54.45,-8415062.7,Other,No,MOGHALS DR INTDEAL
11,273.pdf,2023-09-12,2026-05-04,2026-04-04,2026-04-04,EBANK:WIB/1502 Dr EBANK:WIB/1502423934/Edfs,,Receipt,0.0,240091.0,240091.0,-8174971.7,High Transaction; Recurring Transaction,Yes,EBANKWIB
12,273.pdf,2023-09-12,2026-05-04,2026-04-04,2026-04-04,BY CASH Dr BY CASH,,Receipt,0.0,423500.0,423500.0,-7751471.7,Cash; High Transaction; Recurring Transaction,Yes,BY CASH DR BY CASH
13,273.pdf,2023-09-12,2026-05-04,2026-04-04,2026-04-04,"EBANK:WIB/1502 Dr ---------------------------------------------------------------------------------------------------------------------------------- Page Total: 14,20,752.58 37,89,230.05 76,31,141.33Dr ---------------------------------------------------------------------------------------------------------------------------------- Note: Cheques received in inward clearing will be considered for debiting/ returning on the basis opening balance in account Unless the constituent notifies the bank o",,Receipt,0.0,120330.37,120330.37,-7631141.33,High Transaction; Recurring Transaction,Yes,EBANKWIB
14,273.pdf,2023-09-12,2026-05-04,2026-04-04,2026-04-04,RTGS-BARBR5202 Dr RTGS-BARBR52026040400789528-HINDUSTAN PETROLEUM CO,,Payment,1854884.36,0.0,1854884.36,-9486025.69,High Transaction; Recurring Transaction,Yes,BARBR DR RTGS
15,273.pdf,2023-09-12,2026-05-04,2026-04-05,2026-04-05,EBANK:WIB/1502 Dr EBANK:WIB/1502577386/Edfs,,Receipt,0.0,300403.36,300403.36,-9185622.33,High Transaction; Recurring Transaction,Yes,EBANKWIB
16,273.pdf,2023-09-12,2026-05-04,2026-04-06,2026-04-06,EBANK:WIB/1502 Dr https://cbdrpt101.bankofbaroda.co.in:22000/finbranch/arjspmorph/INFENG/tran_rpt.jsp?... 04-05-2026 EBANK:WIB/1502642025/Edfs,,Receipt,0.0,365780.21,365780.21,-8819842.12,High Transaction; Recurring Transaction,Yes,EBANKWIB
17,273.pdf,2023-09-12,2026-05-04,2026-04-06,2026-04-06,BY CASH Dr BY CASH,,Receipt,0.0,273000.0,273000.0,-8546842.12,Cash; High Transaction; Recurring Transaction,Yes,BY CASH DR BY CASH
18,273.pdf,2023-09-12,2026-05-04,2026-04-06,2026-04-06,EBANK:WIB/1502 Dr EBANK:WIB/1502790855/Edfs,,Receipt,0.0,198114.0,198114.0,-8348728.12,High Transaction; Recurring Transaction,Yes,EBANKWIB
19,273.pdf,2023-09-12,2026-05-04,2026-04-06,2026-04-06,BASGUR-GURGAON Dr INT260324DEAL6234708,,Payment,5732.4,0.0,5732.4,-8354460.52,Other,No,GURGAON DR INTDEAL
20,273.pdf,2023-09-12,2026-05-04,2026-04-07,2026-04-07,EBANK:WIB/1502 Dr EBANK:WIB/1502821939/Edfs,,Receipt,0.0,330493.07,330493.07,-8023967.45,High Transaction; Recurring Transaction,Yes,EBANKWIB
21,273.pdf,2023-09-12,2026-05-04,2026-04-07,2026-04-07,EBANK:WIB/1502 Dr EBANK:WIB/1502986421/Edfs,,Receipt,0.0,137582.35,137582.35,-7886385.1,High Transaction; Recurring Transaction,Yes,EBANKWIB
22,273.pdf,2023-09-12,2026-05-04,2026-04-07,2026-04-07,RTGS-BARBR5202 Dr RTGS-BARBR52026040700945156-HINDUSTAN PETROLEUM CO,,Payment,1902609.28,0.0,1902609.28,-9788994.38,High Transaction; Recurring Transaction,Yes,BARBR DR RTGS
23,273.pdf,2023-09-12,2026-05-04,2026-04-08,2026-04-08,EBANK:WIB/1503 Dr EBANK:WIB/1503050809/Edfs,,Receipt,0.0,381113.0,381113.0,-9407881.38,High Transaction; Recurring Transaction,Yes,EBANKWIB
24,273.pdf,2023-09-12,2026-05-04,2026-04-08,2026-04-08,BY CASH Dr BY CASH,,Receipt,0.0,115000.0,115000.0,-9292881.38,Cash; High Transaction; Recurring Transaction,Yes,BY CASH DR BY CASH
25,273.pdf,2023-09-12,2026-05-04,2026-04-08,2026-04-08,EBANK:WIB/1503 Dr EBANK:WIB/1503170712/Edfs,,Receipt,0.0,108620.0,108620.0,-9184261.38,High Transaction; Recurring Transaction,Yes,EBANKWIB
26,273.pdf,2023-09-12,2026-05-04,2026-04-09,2026-04-09,0000-MUMBAI/IN Dr INT260325DEAL6242558,,Payment,5694.93,0.0,5694.93,-9189956.31,Recurring Transaction,Yes,IN DR INTDEAL
27,273.pdf,2023-09-12,2026-05-04,2026-04-09,2026-04-09,0000-MUMBAI/IN Dr INT260325DEAL6242558,,Receipt,0.0,25.59,25.59,-9189930.72,Recurring Transaction,Yes,IN DR INTDEAL
28,273.pdf,2023-09-12,2026-05-04,2026-04-09,2026-04-09,BY CASH Dr BY CASH,,Receipt,0.0,180000.0,180000.0,-9009930.72,Cash; High Transaction; Recurring Transaction,Yes,BY CASH DR BY CASH
29,273.pdf,2023-09-12,2026-05-04,2026-04-09,2026-04-09,"EBANK:WIB/1503 Dr EBANK:WIB/1503311707/Edfs ---------------------------------------------------------------------------------------------------------------------------------- Page Total: 37,68,920.97 27,70,249.58 86,29,812.72Dr ---------------------------------------------------------------------------------------------------------------------------------- Note: Cheques received in inward clearing will be considered for debiting/ returning on the basis opening balance in account Unless the const",,Receipt,0.0,380118.0,380118.0,-8629812.72,High Transaction; Recurring Transaction,Yes,EBANKWIB
30,273.pdf,2023-09-12,2026-05-04,2026-04-10,2026-04-10,EBANK:WIB/1503 Dr EBANK:WIB/1503339201/Edfs,,Receipt,0.0,432999.0,432999.0,-8196813.72,High Transaction; Recurring Transaction,Yes,EBANKWIB
31,273.pdf,2023-09-12,2026-05-04,2026-04-10,2026-04-10,0000-MUMBAI/IN Dr INT260326DEAL6244623,,Payment,1193.25,0.0,1193.25,-8198006.97,Recurring Transaction,Yes,IN DR INTDEAL
32,273.pdf,2023-09-12,2026-05-04,2026-04-10,2026-04-10,RTGS-BARBR5202 Dr RTGS-BARBR52026041000833640-HINDUSTAN PETROLEUM CO,,Payment,1801993.0,0.0,1801993.0,-9999999.97,High Transaction; Recurring Transaction,Yes,BARBR DR RTGS
33,273.pdf,2023-09-12,2026-05-04,2026-04-10,2026-04-10,EBANK:WIB/1503 Dr EBANK:WIB/1503385381/Edfs,,Receipt,0.0,49686.0,49686.0,-9950313.97,Recurring Transaction,Yes,EBANKWIB
34,273.pdf,2023-09-12,2026-05-04,2026-04-10,2026-04-10,BY CASH Dr BY CASH,,Receipt,0.0,171000.0,171000.0,-9779313.97,Cash; High Transaction; Recurring Transaction,Yes,BY CASH DR BY CASH
